alight alighted alighting alights alit 
align aligned aligning aligns 
aliment alimented alimenting aliments 
aline alined alines alining 
alkalified alkalifies alkalify alkalifying 
alkalinize alkalinized alkalinizes alkalinizing alkalinise alkalinised alkalinises alkalinising 
alkalize alkalized alkalizes alkalizing alkalise alkalised alkalises alkalising 
allay allayed allaying allays 
allege alleged alleges alleging 
allegorize allegorized allegorizes allegorizing allegorise allegorised allegorises allegorising 
alleviate alleviated alleviates alleviating 
alligate alligated alligates alligating 
alliterate alliterated alliterates alliterating 
allocate allocated allocates allocating 
allomerize allomerized allomerizes allomerizing 
allot allotted allotting allots 
allow allowed allowing allows 
allowance allowanced allowances allowancing 
alloy alloyed alloying alloys 
allude alluded alludes alluding 
allure allured allures alluring 
ally allied allies allying 
alphabetize alphabetized alphabetizes alphabetizing alphabetise alphabetised alphabetising alphabetises 
alter altered altering alters 
altercate altercated altercates altercating 
alternate alternated alternates alternating 
aluminize aluminized aluminizes aluminizing aluminise aluminised aluminises aluminising 
amalgamate amalgamated amalgamates amalgamating 
amass amassed amasses amassing 
amate amated amates amating 
amaze amazed amazes amazing 
amble ambled ambles ambling 
ambulate ambulated ambulates ambulating 
ambuscade ambuscaded ambuscades ambuscading 
ambush ambushed ambushes ambushing 
ameliorate ameliorated ameliorates ameliorating 
amend amended amending amends 
amerce amerced amerces amercing 
americanize americanized americanizes americanizing americanise americanised americanises americanising 
amidate amidated amidates amidating 
aminate aminated aminates aminating 
ammoniate ammoniated ammoniates ammoniating 
ammonified ammonifies ammonify ammonifying 
ammonolyze ammonolyzed ammonolyzes ammonolyzing 
amnesty amnestying amnesties amnestied 
amortize amortized amortizes amortizing amortise amortised amortises amortising 
amount amounted amounting amounts 
amplify amplifying amplified amplifies 
amputate amputated amputates amputating 
amuse amused amuses amusing 
anaesthetize anaesthetized anaesthetizes anaesthetizing anesthetize anesthetized anesthetizing anesthetizes 
anagrammatize anagrammatized anagrammatizes anagrammatizing anagrammatise anagrammatised anagrammatises anagrammatising 
analogize analogized analogizes analogizing analogise analogised analogises analogising 
analyze analyzed analyzes analyzing analyse analysed analyses analysing 
anastomose anastomosed anastomoses anastomosing 
anathematize anathematized anathematizes anathematizing anathematise anathematised anathematises anathematising 
anatomize anatomized anatomizes anatomizing anatomise anatomised anatomises anatomising 
anchor anchored anchoring anchors 
anchylose anchylosed anchyloses anchylosing 
anele aneled aneles aneling 
anger angered angering angers 
angle angled angles angling 
anglicize anglicized anglicizes anglicizing anglicise anglicised anglicises anglicising 
anglify anglifying anglified anglifies 
anguish anguished anguishes anguishing 
angulate angulated angulates angulating 
animadvert animadverted animadverting animadverts 
animalize animalized animalizes animalizing animalise animalised animalises animalising 
animate animated animates animating 
ankylose ankylosed ankyloses ankylosing 
anneal annealed annealing anneals 
annex annexed annexing annexes 
annihilate annihilated annihilates annihilating 
annotate annotated annotates annotating 
announce announced announces announcing 
announcement announcemented announcementing announcements 
annoy annoyed annoying annoys 
annul annulled annulling annuls 
annunciate annunciated annunciates annunciating 
anodize anodized anodizes anodizing 
anoint anointed anointing anoints 
answer answered answering answers 
antagonize antagonized antagonizes antagonizing antagonise antagonised antagonises antagonising 
antalya antalyaed antalyaing antalyas 
ante anted anteed anteing antes 
antecede anteceded antecedes anteceding 
antedate antedated antedates antedating 
antevert anteverted anteverting anteverts 
anthologize anthologized anthologizes anthologizing anthologise anthologised anthologises anthologising 
anthropomorphize anthropomorphized anthropomorphizes anthropomorphizing anthropomorphise anthropomorphised anthropomorphises anthropomorphising 
anticipate anticipated anticipates anticipating 
antiquate antiquated antiquates antiquating 
antique antiqued antiques antiquing 
antisepticize antisepticized antisepticizes antisepticizing antisepticise antisepticised antisepticises antisepticising 
ape aped apes aping 
aphorize aphorized aphorizes aphorizing aphorise aphorised aphorises aphorising 
apocopate apocopated apocopates apocopating 
apologize apologized apologizes apologizing apologise apologised apologises apologising 
aportion aportioned aportioning aportions 
apostatize apostatized apostatizes apostatizing apostatise apostatised apostatises apostatising 
apostrophize apostrophized apostrophizes apostrophizing apostrophise apostrophised apostrophises apostrophising 
apotheosize apotheosized apotheosizes apotheosizing apotheosise apotheosised apotheosises apotheosising 
appall appalled appalling appalls 
apparel appareled appareling apparelled apparelling apparels 
appeal appealed appealing appeals 
appear appeared appearing appears 
appease appeased appeases appeasing 
append appended appending appends 
apperceive apperceived apperceives apperceiving 
appertain appertained appertaining appertains 
applaud applauded applauding applauds 
applique appliqued appliques appliqueing 
apply applying applied applies 
appoint appointed appointing appoints 
apportion apportioned apportioning apportions 
appose apposed apposes apposing 
appraise appraised appraises appraising 
appreciate appreciated appreciates appreciating 
apprehend apprehended apprehending apprehends 
apprentice apprenticed apprentices apprenticing 
apprize apprized apprizes apprizing apprise apprised apprises apprising 
approach approached approaches approaching 
approbate approbated approbates approbating 
appropriate appropriated appropriates appropriating 
approve approved approves approving 
approximate approximated approximates approximating 
apron aproned aproning aprons 
aquaplane aquaplaned aquaplanes aquaplaning 
aquatint aquatinted aquatinting aquatints 
arbitrate arbitrated arbitrates arbitrating 
arc arced arcing arcs 
arch arched arches arching 
archaize archaized archaizes archaizing archaise archaised archaises archaising 
arglebargle arglebargled arglebargles arglebargling 
argue argued argues arguing 
argufy argufying argufied argufies 
arise arisen arises arising arose 
arm armed arming arms 
armor armored armoring armors armour armoured armouring armours 
aromatize aromatized aromatizes aromatizing aromatise aromatised aromatises aromatising 
arouse aroused arouses arousing 
arraign arraigned arraigning arraigns 
arrange arranged arranges arranging 
array arrayed arraying arrays 
arrest arrested arresting arrests 
arrive arrived arrives arriving 
arrogate arrogated arrogates arrogating 
arse arsed arses arsing 
art arted arting arts 
arterialize arterialized arterializes arterializing arterialise arterialised arterialises arterialising 
article articled articles articling 
articulate articulated articulates articulating 
artificialize artificialized artificializes artificializing 
aryanize aryanized aryanizes aryanizing aryanise aryanised aryanises aryanising 
arylate arylated arylates arylating 
ascend ascended ascending ascends 
ascertain ascertained ascertaining ascertains 
ascribe ascribed ascribes ascribing 
asexualize asexualized asexualizes asexualizing asexualise asexualised asexualises asexualising 
ask asked asking asks 
asperse aspersed asperses aspersing 
asphalt asphalted asphalting asphalts 
asphyxiate asphyxiated asphyxiates asphyxiating 
aspirate aspirated aspirates aspirating 
aspire aspired aspires aspiring 
assail assailed assailing assails 
assassinate assassinated assassinates assassinating 
assault assaulted assaulting assaults 
assay assayed assaying assays 
assemble assembled assembles assembling 
assent assented assenting assents 
assert asserted asserting asserts 
assess assessed assesses assessing 
asseverate asseverated asseverates asseverating 
assibilate assibilated assibilates assibilating 
assign assigned assigning assigns 
assimilate assimilated assimilates assimilating 
assist assisted assisting assists 
associate associated associates associating 
assoil assoiled assoiling assoils 
assort assorted assorting assorts 
assuage assuaged assuages assuaging 
assume assumed assumes assuming 
assure assured assures assuring 
asterisk asterisked asterisking asterisks 
astonish astonished astonishes astonishing 
astound astounded astounding astounds 
astrict astricted astricting astricts 
astringe astringed astringes astringing 
astrogate astrogated astrogates astrogating 
atomize atomized atomizes atomizing atomise atomised atomises atomising 
atone atoned atones atoning 
atrophy atrophying atrophies atrophied 
attacca attaccaed attaccaing attaccas 
attach attached attaches attaching 
attack attacked attacking attacks 
attain attained attaining attains 
attaint attainted attainting attaints 
attempt attempted attempting attempts 
attend attended attending attends 
attenuate attenuated attenuates attenuating 
attest attested attesting attests 
atticize atticized atticizes atticizing atticise atticised atticises atticising 
attire attired attires attiring 
attitudinize attitudinized attitudinizes attitudinizing attitudinise attitudinised attitudinises attitudinising 
attorn attorned attorning attorns 
attract attracted attracting attracts 
attribute attributed attributes attributing 
attrite attrited attrites attriting 
attune attuned attunes attuning 
auction auctioned auctioning auctions 
auctioneer auctioneered auctioneering auctioneers 
audit audited auditing audits 
audition auditioned auditioning auditions 
augment augmented augmenting augments 
augur augured auguring augurs 
aurify aurifying aurifies aurified 
auscultate auscultated auscultates auscultating 
auspicate auspicated auspicates auspicating 
austenitize austenitized austenitizes austenitizing 
australianize australianized australianizes australianizing 
authenticate authenticated authenticates authenticating 
author authored authoring authors 
authorize authorized authorizes authorizing authorise authorised authorises authorising 
autoclave autoclaved autoclaves autoclaving 
autograph autographed autographing autographs 
autolyze autolyzed autolyzes autolyzing autolyse autolysed autolyses autolysing 
automate automated automates automating 
automatize automatized automatizes automatizing 
autotomize autotomized autotomizes autotomizing autotomise autotomised autotomises autotomising 
avail availed availing avails 
